latitude,longitude,county_name,county
57.6,26.7,Võrumaa,15.0
57.6,27.2,Võrumaa,15.0
57.9,26.7,Võrumaa,15.0
57.9,27.2,Võrumaa,15.0
57.9,27.7,Võrumaa,15.0
57.9,26.2,Valgamaa,13.0
58.2,22.2,Saaremaa,10.0
58.5,22.2,Saaremaa,10.0
58.5,22.7,Saaremaa,10.0
58.5,23.2,Saaremaa,10.0
58.2,24.7,Pärnumaa,7.0
58.2,25.2,Pärnumaa,7.0
58.5,23.7,Pärnumaa,7.0
58.5,24.2,Pärnumaa,7.0
58.5,24.7,Pärnumaa,7.0
58.2,25.7,Viljandimaa,14.0
58.5,25.2,Viljandimaa,14.0
58.5,25.7,Viljandimaa,14.0
58.2,26.2,Tartumaa,11.0
58.2,26.7,Tartumaa,11.0
58.5,26.7,Tartumaa,11.0
58.5,27.2,Tartumaa,11.0
58.2,27.2,Põlvamaa,8.0
58.5,26.2,Jõgevamaa,4.0
58.8,26.2,Jõgevamaa,4.0
58.8,26.7,Jõgevamaa,4.0
58.8,22.7,Hiiumaa,1.0
58.8,23.7,Läänemaa,6.0
59.1,23.7,Läänemaa,6.0
58.8,24.2,Raplamaa,9.0
58.8,24.7,Raplamaa,9.0
59.1,24.7,Raplamaa,9.0
58.8,25.2,Järvamaa,3.0
58.8,25.7,Järvamaa,3.0
59.1,25.7,Järvamaa,3.0
59.1,24.2,Harjumaa,0.0
59.1,25.2,Harjumaa,0.0
59.4,24.2,Harjumaa,0.0
59.4,24.7,Harjumaa,0.0
59.4,25.2,Harjumaa,0.0
59.4,25.7,Harjumaa,0.0
59.1,26.2,Lääne-Virumaa,5.0
59.1,26.7,Lääne-Virumaa,5.0
59.4,26.2,Lääne-Virumaa,5.0
59.4,26.7,Lääne-Virumaa,5.0
59.1,27.2,Ida-Virumaa,2.0
59.1,27.7,Ida-Virumaa,2.0
59.4,27.2,Ida-Virumaa,2.0
59.4,27.7,Ida-Virumaa,2.0
